bygning_navn	eiendom	objekt_type	objekt_tekst	AddressLine1	Anleggstype	Antall armaturer	Antall dyser	Antall flasker / boks	BasedOn	Bruksformål	CertificateNumber	Contact	Date	DeliveryDate	Dimensjon	DoneBy	Email	EquipmentComment	Etasje	Fabrikat	Finnes det loggbok	Flasker â€“ produksjonsår	Flasketrykk	Georef	InstallationID	Installations nr	Instruks	KgL	LastEquipmentInstallationNumber	Legionellagjennomspyling gjennomført	Lengde	Leverandør Objekt ID	Merknader	Navn	Neste kontroll	Overflate	Place	Plassering	ProductID	Produksjonsår	Produsent	PropertyID	Regelverk beregning	Rom nummer	RomNr	Romnummer	Sign	Siste kontroll	Skilt	Slange	Slokkemiddel	Status funksjoner	Status utstyr	StatusAreas	StatusFences	StatusVegetation	Stralerør	Telephone	Temperatur kaldtvann	Temperatur varmtvann	Tid (minutter)	Tilforsel	Trommel	Trykkprøve	Type dusj	Type slokkemiddel	Typebetegnelse	TypeID	Vann	Vedlikeholdstype	Vendor	VendorId	Volum beregnet m2	Volum målt m3	ZipCode	
Abildsø skole. Klokkebygget. Bygg nr. 2	Abildsø skole	3350	Brannslukking med gass				14	1616		test bruksformål 1616												2015	205																				test regelverk																														test volum m2	test målt m3		
Abildsø skole. Skipet. Bygg nr. 4	Abildsø skole	3350	Brannslukking med gass		G																																																																							
Solvang helsehus	Solvang helsehus	381SPYL	Rom - Spyling																																										2035																															
Abildsø skole. Betongen. Bygg nr. 1	Abildsø skole	BS	Brannslanger												3/4tomme				02								X				25	804930128397			2022-04-19			øvre gymsal v/ventilasjonsrom		2001-01-01				06				2021-04-19	X	X							X					X	X	X					X							
Abildsø skole. Klokkebygget. Bygg nr. 2	Abildsø skole	BS	Brannslanger												3/4tomme				03								X				30	804930128526			2022-04-19			v/trapp, heis		2001-01-01				04				2021-04-19	X	X							X					X	X	X					X							
Abildsø skole. Nedre Gymsal. Bygg nr. 5	Abildsø skole	BS	Brannslanger												3/4tomme				01								X				30	804930129202	Strålerør lekker/Trekt. Må byttes.		2022-04-19			trappegang, fra gymsal		2009-01-01				01				2021-04-19	X	X							X					X	X	X					X							
Abildsø skole. Skipet. Bygg nr. 4	Abildsø skole	BS	Brannslanger												1tomme				03								X				25	804930129141			2022-04-19			korridor v/toalett		1998-01-01				01				2021-04-19	X	X							X					X	X	X					X							
Abildsø skole. S-klassen. Bygg nr. 6	Abildsø skole	BS	Brannslanger												3/4tomme				01								X				30	804930129257			2022-04-19			korridor v/rom 6-116		1997-01-01				04				2021-04-19	X	X							X					X	X	X					X							
Abildsø skole. U-blokka. Bygg nr. 3	Abildsø skole	BS	Brannslanger												3/4tomme				02								X				25	804930129080			2022-04-19			v/dametoalett		2001-01-01				04				2021-04-19	X	X							X					X	X	X					X							
Bekkelaget skole. Bernhus	Bekkelaget skole	BS	Brannslanger												3/4tomme				01								X				25	804930127932			2022-09-27			Bøttekott		2003-07-28				02				2021-11-02	X	X							X					X	X	X					X							
Bekkelaget skole. Bygg A	Bekkelaget skole	BS	Brannslanger												3/4tomme				03								X				25	804930127703			2022-09-27			Korridor V romA8		1997-07-28				03				2021-11-02	X	X							X					X	X	X					X							
